,index,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche
1684,1684,2012-02-04,roux,33.0,9.0,26144.0,M,master,geologie,98.9,oui,0
1685,1685,2014-02-22,roux,35.0,6.0,34758.0,M,master,geologie,92.93,oui,1
1686,1686,2012-02-27,blond,16.0,4.0,39362.0,F,bac,detective,72.47,non,0
1687,1687,2014-04-10,blond,33.0,11.0,29486.0,M,master,geologie,85.87,non,0
1688,1688,2014-11-05,chatain,26.0,10.0,35375.0,F,licence,geologie,56.24,non,0
1689,1689,2013-06-12,brun,28.0,10.0,39542.0,M,master,geologie,72.32,oui,1
1690,1690,2012-07-10,chatain,48.0,15.0,27735.0,F,doctorat,geologie,52.54,non,1
1691,1691,2010-03-13,roux,21.0,13.0,34842.0,M,licence,geologie,65.11,non,0
1692,1692,2012-03-13,blond,46.0,14.0,37678.0,M,bac,geologie,68.18,non,0
1693,1693,2014-10-21,brun,38.0,11.0,33878.0,F,licence,geologie,79.26,non,0
1694,1694,2014-02-24,blond,35.0,4.0,33447.0,M,bac,geologie,52.21,non,0
1695,1695,2010-02-13,brun,45.0,10.0,32030.0,F,licence,detective,93.43,non,0
1696,1696,2013-12-28,brun,33.0,5.0,35230.0,M,master,forage,82.36,oui,0
1697,1697,2012-01-02,roux,35.0,9.0,36491.0,M,bac,geologie,66.35,non,0
1698,1698,2011-01-09,brun,35.0,8.0,39486.0,M,master,geologie,69.64,oui,0
1699,1699,2013-07-30,blond,11.0,15.0,30433.0,M,master,geologie,98.89,oui,0
1700,1700,2010-02-21,roux,34.0,11.0,31606.0,F,licence,geologie,94.02,non,0
1701,1701,2011-03-25,blond,33.0,13.0,34021.0,M,bac,,61.82,non,0
1702,1702,2012-09-01,blond,36.0,9.0,31726.0,M,master,detective,82.08,oui,0
1703,1703,2013-07-23,brun,35.0,17.0,39708.0,M,master,archeologie,76.84,oui,0
1704,1704,2014-09-12,,44.0,13.0,37166.0,M,doctorat,detective,91.24,oui,0
1705,1705,2010-08-17,roux,28.0,6.0,37025.0,F,bac,geologie,90.89,non,0
1706,1706,2011-04-16,blond,48.0,3.0,33934.0,M,licence,geologie,59.22,non,0
1707,1707,2011-12-30,blond,28.0,7.0,40514.0,M,master,geologie,77.73,oui,0
1708,1708,2014-03-27,blond,49.0,16.0,26102.0,F,licence,geologie,67.64,non,0
1709,1709,2010-12-22,brun,44.0,9.0,33532.0,M,doctorat,forage,76.54,oui,0
1710,1710,2014-01-04,blond,20.0,4.0,39057.0,M,licence,geologie,47.03,non,0
1711,1711,2010-08-07,chatain,35.0,9.0,29494.0,F,doctorat,detective,98.15,oui,0
1712,1712,2014-01-14,roux,33.0,9.0,43898.0,M,bac,geologie,30.66,non,0
1713,1713,2010-08-19,blond,55.0,9.0,34278.0,M,master,geologie,77.76,oui,0
1714,1714,2010-06-24,brun,50.0,8.0,32269.0,F,master,geologie,65.49,non,1
1715,1715,2014-08-16,roux,42.0,3.0,33033.0,M,bac,geologie,53.81,non,0
1716,1716,2012-09-03,brun,38.0,12.0,38767.0,M,licence,geologie,60.71,non,0
1717,1717,2011-07-03,brun,36.0,11.0,46929.0,M,licence,archeologie,47.11,oui,0
1718,1718,2010-08-20,chatain,32.0,10.0,36828.0,M,master,geologie,91.71,non,0
1719,1719,2014-04-14,brun,46.0,10.0,24383.0,F,doctorat,forage,109.12,oui,0
1720,1720,2013-12-25,chatain,43.0,6.0,29636.0,M,doctorat,forage,72.15,oui,0
1721,1721,2013-05-03,blond,42.0,8.0,23947.0,M,doctorat,geologie,99.06,oui,0
1722,1722,2012-01-01,chatain,26.0,7.0,34054.0,F,licence,archeologie,78.3,non,0
1723,1723,2011-04-03,chatain,43.0,13.0,36577.0,F,master,geologie,76.38,non,0
1724,1724,2012-10-03,brun,36.0,9.0,32164.0,F,master,detective,91.73,oui,0
1725,1725,2014-05-13,roux,54.0,8.0,33041.0,M,master,forage,90.29,oui,0
1726,1726,2014-03-27,blond,28.0,7.0,43825.0,F,bac,detective,56.8,non,0
1727,1727,2010-12-05,roux,51.0,12.0,33672.0,M,licence,geologie,75.47,non,0
1728,1728,2014-12-30,,22.0,7.0,30779.0,F,licence,forage,65.59,non,0
1729,1729,2012-10-13,blond,38.0,8.0,34469.0,M,bac,geologie,50.04,non,0
1730,1730,2013-05-20,brun,61.0,8.0,35101.0,M,master,forage,78.97,oui,1
1731,1731,2013-04-08,brun,48.0,6.0,36945.0,F,licence,forage,74.15,non,0
1732,1732,2013-04-24,roux,29.0,10.0,30751.0,M,licence,forage,85.57,non,1
1733,1733,2012-01-25,chatain,29.0,9.0,28076.0,F,master,geologie,78.61,non,0
1734,1734,2012-11-17,blond,34.0,13.0,32586.0,M,master,geologie,96.34,non,0
1735,1735,2011-06-01,blond,43.0,4.0,33477.0,M,bac,geologie,45.48,non,0
1736,1736,2011-08-03,chatain,41.0,8.0,29722.0,M,master,geologie,60.44,non,0
1737,1737,2010-10-04,blond,45.0,12.0,37435.0,F,licence,forage,75.25,non,0
1738,1738,2010-04-09,blond,42.0,14.0,34494.0,M,bac,geologie,49.18,non,0
1739,1739,2010-07-29,brun,30.0,15.0,41465.0,M,bac,geologie,61.59,non,0
1740,1740,2014-10-26,chatain,29.0,7.0,47562.0,M,licence,detective,44.27,oui,0
1741,1741,2012-11-23,brun,36.0,9.0,33550.0,M,licence,geologie,58.26,non,1
1742,1742,2011-11-06,brun,48.0,14.0,37235.0,M,licence,geologie,74.84,non,0
1743,1743,2013-11-25,brun,34.0,12.0,30538.0,F,licence,geologie,67.6,non,0
1744,1744,2011-03-22,blond,40.0,7.0,40246.0,M,bac,forage,54.78,non,0
1745,1745,2014-06-10,blond,28.0,12.0,30366.0,F,licence,forage,108.86,non,0
1746,1746,2011-02-25,chatain,40.0,10.0,37155.0,F,licence,geologie,76.38,non,0
1747,1747,2013-12-12,brun,38.0,10.0,34778.0,F,licence,detective,74.93,non,0
1748,1748,2012-01-28,chatain,51.0,10.0,36690.0,F,master,geologie,92.13,non,0
1749,1749,2014-08-07,brun,22.0,14.0,36924.0,M,licence,geologie,78.23,non,0
1750,1750,2010-11-07,chatain,37.0,12.0,37396.0,F,doctorat,archeologie,96.93,oui,0
1751,1751,2010-03-17,chatain,44.0,9.0,37001.0,M,doctorat,geologie,75.6,oui,0
1752,1752,2011-05-01,blond,27.0,8.0,25054.0,M,master,geologie,77.51,non,1
1753,1753,2013-07-26,blond,35.0,8.0,33990.0,M,licence,geologie,67.94,non,0
1754,1754,2013-11-02,brun,38.0,15.0,35822.0,F,licence,geologie,79.41,non,0
1755,1755,2014-08-07,brun,31.0,9.0,33399.0,F,master,geologie,97.07,oui,0
1756,1756,2014-06-17,chatain,39.0,5.0,33965.0,F,master,forage,103.23,oui,0
1757,1757,2010-08-01,brun,58.0,8.0,30382.0,F,master,forage,101.87,oui,0
1758,1758,2013-11-05,chatain,19.0,11.0,35361.0,F,master,forage,34.89,non,1
1759,1759,2013-06-17,blond,35.0,10.0,39075.0,M,licence,forage,85.02,non,1
1760,1760,2014-05-13,chatain,32.0,11.0,50428.0,M,bac,geologie,27.9,non,0
1761,1761,2012-02-22,blond,59.0,8.0,36111.0,M,licence,forage,77.22,non,0
1762,1762,2014-01-29,chatain,31.0,7.0,37446.0,M,licence,geologie,41.57,non,0
1763,1763,2010-03-31,brun,34.0,11.0,35906.0,M,licence,geologie,70.7,non,0
1764,1764,2014-05-14,blond,27.0,7.0,47645.0,M,master,geologie,92.27,oui,1
1765,1765,2010-11-06,blond,26.0,11.0,38473.0,M,licence,geologie,42.19,non,0
1766,1766,2010-07-05,roux,41.0,8.0,34939.0,M,bac,geologie,46.39,non,0
1767,1767,2014-12-26,brun,31.0,10.0,40946.0,M,licence,forage,40.17,non,0
1768,1768,2011-12-28,roux,19.0,12.0,38738.0,M,licence,geologie,79.84,oui,0
1769,1769,2011-01-24,blond,35.0,9.0,39227.0,M,licence,geologie,64.38,non,0
1770,1770,2013-06-04,roux,39.0,7.0,32621.0,M,bac,geologie,68.58,non,0
1771,1771,2012-01-15,blond,29.0,12.0,33125.0,M,licence,geologie,68.47,non,0
1772,1772,2011-01-20,brun,39.0,9.0,33876.0,M,licence,geologie,53.84,non,0
1773,1773,2012-01-03,blond,37.0,6.0,23112.0,M,master,geologie,98.46,non,0
1774,1774,2012-12-01,chatain,50.0,7.0,37156.0,F,licence,detective,63.31,non,1
1775,1775,2011-11-20,blond,51.0,9.0,42081.0,F,bac,detective,68.95,non,0
1776,1776,2013-03-19,brun,35.0,5.0,37297.0,M,bac,geologie,28.56,non,0
1777,1777,2014-01-20,brun,22.0,8.0,30064.0,F,master,forage,93.47,non,1
1778,1778,2010-08-24,blond,25.0,8.0,35127.0,M,licence,geologie,61.44,non,0
1779,1779,2012-07-04,brun,35.0,13.0,29502.0,M,doctorat,detective,85.37,oui,0
1780,1780,2011-06-20,blond,19.0,8.0,38677.0,F,bac,geologie,75.02,non,0
1781,1781,2012-10-07,brun,42.0,9.0,32210.0,M,licence,geologie,,non,1
1782,1782,2014-05-20,chatain,45.0,13.0,36189.0,M,doctorat,detective,84.1,oui,0
1783,1783,2011-05-01,chatain,46.0,10.0,36683.0,F,doctorat,archeologie,114.89,oui,0
1784,1784,2010-08-18,chatain,29.0,15.0,30622.0,F,doctorat,geologie,120.14,oui,0
1785,1785,2010-07-24,,49.0,6.0,36645.0,M,doctorat,geologie,102.25,oui,1
1786,1786,2011-11-22,brun,23.0,12.0,35964.0,M,master,forage,68.43,oui,0
1787,1787,2010-08-28,roux,50.0,13.0,42202.0,M,bac,geologie,38.02,non,0
1788,1788,2010-05-03,blond,51.0,11.0,34098.0,F,bac,detective,80.34,non,1
1789,1789,2010-03-26,blond,36.0,13.0,41164.0,F,bac,forage,68.8,non,0
1790,1790,2014-03-08,blond,28.0,11.0,36143.0,F,bac,geologie,58.04,non,0
1791,1791,2014-03-03,blond,28.0,8.0,36503.0,M,master,geologie,64.84,oui,0
1792,1792,2010-07-18,blond,40.0,13.0,42892.0,M,licence,forage,30.73,oui,0
1793,1793,2013-10-05,brun,27.0,12.0,25806.0,M,doctorat,geologie,89.26,oui,0
1794,1794,2014-01-14,blond,33.0,4.0,25953.0,F,licence,geologie,80.39,non,0
1795,1795,2013-05-21,chatain,46.0,10.0,33354.0,F,master,forage,79.71,non,0
1796,1796,2011-05-12,brun,37.0,9.0,37311.0,M,licence,geologie,62.78,non,0
1797,1797,2013-05-11,brun,34.0,7.0,36032.0,,licence,geologie,84.83,non,0
1798,1798,2012-03-02,brun,48.0,7.0,37267.0,M,master,geologie,61.23,oui,0
1799,1799,2010-08-08,blond,27.0,10.0,35844.0,M,licence,forage,88.7,non,1
1800,1800,2011-08-13,brun,28.0,6.0,31382.0,M,master,geologie,76.86,non,0
1801,1801,2014-09-17,brun,32.0,6.0,32249.0,M,master,geologie,77.25,oui,0
1802,1802,2014-04-06,brun,46.0,8.0,39827.0,M,master,geologie,76.41,oui,1
1803,1803,2012-02-18,blond,22.0,13.0,40146.0,M,licence,geologie,57.17,non,0
1804,1804,2011-06-25,brun,19.0,11.0,26497.0,F,licence,geologie,85.19,non,0
1805,1805,2010-11-03,blond,40.0,13.0,47132.0,,licence,detective,64.85,oui,0
1806,1806,2013-03-15,chatain,18.0,5.0,35632.0,M,master,geologie,74.59,oui,0
1807,1807,2010-09-19,blond,24.0,11.0,33342.0,M,master,archeologie,75.33,oui,0
1808,1808,2012-06-24,chatain,50.0,9.0,37181.0,F,doctorat,detective,95.54,oui,0
1809,1809,2012-11-07,chatain,41.0,9.0,42199.0,F,doctorat,archeologie,97.21,oui,0
1810,1810,2013-03-17,brun,33.0,8.0,39784.0,M,licence,forage,82.44,oui,0
1811,1811,2014-09-25,brun,40.0,4.0,44541.0,M,licence,geologie,45.53,non,0
1812,1812,2011-04-11,blond,22.0,12.0,42944.0,M,licence,forage,63.78,oui,0
1813,1813,2012-12-21,chatain,25.0,13.0,38576.0,F,licence,geologie,53.86,non,0
1814,1814,2011-01-18,chatain,41.0,8.0,29436.0,M,doctorat,detective,87.61,oui,0
1815,1815,2013-11-30,brun,53.0,7.0,28832.0,M,doctorat,geologie,114.29,oui,0
1816,1816,2012-07-08,brun,39.0,9.0,39454.0,M,master,forage,74.34,oui,0
1817,1817,2014-01-15,brun,37.0,7.0,34546.0,F,master,detective,72.39,oui,0
1818,1818,2010-09-06,blond,33.0,13.0,32832.0,M,master,detective,75.89,oui,0
1819,1819,2013-12-04,brun,52.0,6.0,31954.0,M,master,geologie,73.35,oui,0
1820,1820,2013-02-06,chatain,32.0,12.0,39397.0,F,master,archeologie,72.27,oui,0
1821,1821,2010-07-14,roux,39.0,9.0,36662.0,M,master,geologie,96.72,oui,0
1822,1822,2012-01-22,chatain,43.0,11.0,32223.0,F,master,forage,76.19,non,0
1823,1823,2010-05-02,blond,35.0,10.0,30926.0,F,master,detective,91.96,non,0
1824,1824,2011-12-25,brun,21.0,8.0,37919.0,M,master,geologie,72.27,oui,1
1825,1825,2012-10-19,chatain,39.0,10.0,31960.0,M,master,geologie,72.66,non,0
1826,1826,2010-11-27,blond,40.0,9.0,32084.0,F,licence,geologie,78.48,non,1
1827,1827,2013-02-03,roux,35.0,10.0,28883.0,M,licence,geologie,61.8,non,0
1828,1828,2013-02-08,brun,19.0,9.0,28066.0,F,licence,forage,80.89,non,0
1829,1829,2013-12-03,roux,39.0,5.0,37795.0,M,bac,geologie,57.9,non,0
1830,1830,2010-02-01,blond,35.0,7.0,34299.0,M,licence,geologie,66.76,non,0
1831,1831,2011-09-03,blond,44.0,9.0,34434.0,M,master,forage,61.89,oui,0
1832,1832,2011-01-24,roux,41.0,13.0,37333.0,M,licence,geologie,73.8,non,0
1833,1833,2010-11-21,brun,35.0,13.0,34136.0,M,master,forage,88.2,oui,0
1834,1834,2013-08-29,chatain,34.0,9.0,35752.0,F,master,detective,91.54,oui,0
1835,1835,2012-09-30,chatain,38.0,10.0,31465.0,F,doctorat,archeologie,87.52,oui,0
1836,1836,2010-06-22,chatain,36.0,8.0,27228.0,F,master,geologie,99.11,non,0
1837,1837,2010-12-06,blond,35.0,4.0,41877.0,M,licence,geologie,44.59,oui,0
1838,1838,2013-05-26,chatain,33.0,13.0,40247.0,F,licence,forage,56.56,non,0
1839,1839,2010-11-01,blond,23.0,6.0,33679.0,M,master,forage,84.77,oui,0
1840,1840,2012-11-04,brun,43.0,14.0,38039.0,F,licence,forage,77.07,non,0
1841,1841,2013-05-05,brun,28.0,5.0,35088.0,F,master,detective,77.59,oui,0
1842,1842,2012-02-25,blond,-1.0,6.0,38176.0,M,bac,detective,44.88,non,0
1843,1843,2013-05-13,brun,19.0,5.0,40788.0,F,licence,geologie,63.87,oui,1
1844,1844,2011-10-25,blond,39.0,14.0,27326.0,M,licence,geologie,76.07,non,0
1845,1845,2011-02-28,blond,28.0,7.0,33451.0,F,bac,forage,66.15,non,0
1846,1846,2014-04-02,chatain,55.0,8.0,31852.0,F,licence,geologie,96.2,non,0
1847,1847,2011-05-18,blond,38.0,12.0,39055.0,M,bac,geologie,54.08,non,0
1848,1848,2014-01-02,brun,,17.0,32928.0,F,licence,detective,75.47,non,0
1849,1849,2010-10-22,chatain,28.0,14.0,36065.0,F,master,detective,83.38,oui,0
1850,1850,2010-01-14,blond,40.0,10.0,31819.0,M,master,detective,90.89,oui,0
1851,1851,2014-06-19,blond,35.0,9.0,34586.0,M,licence,geologie,66.18,non,0
1852,1852,2014-03-31,blond,19.0,13.0,25896.0,F,master,geologie,66.72,non,1
1853,1853,2010-03-29,chatain,52.0,13.0,37288.0,M,master,detective,61.07,oui,0
1854,1854,2012-12-08,chatain,37.0,13.0,32337.0,M,master,geologie,67.07,non,0
1855,1855,2010-05-13,chatain,26.0,14.0,21734.0,F,doctorat,forage,125.8,oui,0
1856,1856,2012-07-25,brun,35.0,9.0,36405.0,M,licence,geologie,55.79,non,0
1857,1857,2014-12-18,blond,28.0,11.0,39861.0,M,master,archeologie,88.33,oui,0
1858,1858,,roux,37.0,12.0,38305.0,M,bac,geologie,30.36,non,1
1859,1859,2012-08-30,roux,40.0,8.0,40632.0,M,bac,detective,50.7,non,0
1860,1860,2012-03-10,blond,30.0,11.0,35820.0,M,licence,geologie,77.71,non,0
1861,1861,2014-08-30,chatain,48.0,8.0,34373.0,F,master,forage,66.37,non,0
1862,1862,2011-04-29,brun,34.0,7.0,28487.0,M,master,geologie,83.71,non,0
1863,1863,2013-04-15,blond,24.0,6.0,35892.0,M,licence,archeologie,88.8,oui,1
1864,1864,2010-09-24,chatain,44.0,8.0,37929.0,M,master,geologie,61.0,non,0
1865,1865,2013-12-09,chatain,18.0,15.0,37496.0,M,master,forage,74.29,oui,0
1866,1866,2014-11-25,brun,49.0,13.0,28396.0,F,licence,geologie,80.66,non,0
1867,1867,2011-06-08,brun,35.0,13.0,29113.0,M,master,geologie,66.74,non,0
1868,1868,2010-12-25,blond,27.0,12.0,30325.0,M,doctorat,archeologie,97.28,oui,0
1869,1869,2011-05-04,blond,20.0,6.0,25244.0,M,master,geologie,66.21,non,1
1870,1870,2014-06-10,chatain,35.0,9.0,35971.0,M,master,geologie,57.17,oui,0
1871,1871,2012-09-21,chatain,45.0,6.0,36511.0,M,master,geologie,74.91,non,0
1872,1872,2011-04-24,chatain,35.0,7.0,37997.0,M,master,geologie,60.29,non,0
1873,1873,2014-12-05,brun,20.0,5.0,31122.0,F,master,forage,75.73,non,1
1874,1874,2014-08-06,blond,38.0,13.0,31886.0,F,licence,geologie,88.42,non,1
1875,1875,2013-05-07,chatain,42.0,6.0,20446.0,F,doctorat,archeologie,102.67,non,0
1876,1876,2010-09-27,chatain,24.0,11.0,39551.0,M,master,forage,83.89,oui,0
1877,1877,2010-06-08,chatain,47.0,6.0,38843.0,F,master,forage,78.01,non,0
1878,1878,2014-01-20,brun,34.0,7.0,38376.0,F,licence,detective,44.4,non,0
1879,1879,2012-12-16,brun,30.0,15.0,35583.0,F,master,detective,100.33,oui,0
1880,1880,2010-08-15,chatain,34.0,14.0,37048.0,F,licence,detective,80.0,non,0
1881,1881,2011-12-14,chatain,41.0,11.0,30516.0,M,master,geologie,63.19,non,0
1882,1882,2013-11-28,blond,35.0,6.0,36599.0,M,master,detective,71.3,oui,0
1883,1883,2012-12-14,chatain,35.0,4.0,29604.0,F,doctorat,geologie,105.36,non,0
1884,1884,2013-06-27,brun,15.0,6.0,37064.0,M,licence,geologie,49.39,non,0
1885,1885,2010-05-22,blond,44.0,11.0,28691.0,M,licence,geologie,83.2,non,0
1886,1886,2010-09-26,brun,51.0,7.0,39313.0,M,licence,detective,66.17,oui,0
1887,1887,2011-07-27,chatain,14.0,14.0,34461.0,F,master,forage,111.16,non,0
1888,1888,2014-12-11,roux,32.0,12.0,47629.0,M,bac,geologie,60.26,oui,0
1889,1889,2010-02-20,chatain,33.0,10.0,28493.0,F,doctorat,geologie,103.7,non,0
1890,1890,2012-12-04,roux,37.0,9.0,33684.0,M,bac,geologie,61.33,non,0
1891,1891,2013-01-17,chatain,49.0,7.0,27386.0,M,doctorat,geologie,77.25,oui,0
1892,1892,2010-04-05,blond,42.0,13.0,36642.0,M,bac,geologie,62.93,non,0
1893,1893,2014-02-02,chatain,38.0,8.0,41322.0,M,master,forage,61.02,oui,0
1894,1894,2012-05-09,chatain,28.0,14.0,33226.0,M,doctorat,forage,98.07,oui,0
1895,1895,2010-05-01,chatain,40.0,13.0,34569.0,F,licence,geologie,75.29,non,0
1896,1896,2010-10-12,brun,35.0,8.0,34008.0,M,licence,geologie,64.59,non,0
1897,1897,2011-04-25,chatain,28.0,2.0,31658.0,M,doctorat,geologie,96.06,oui,0
1898,1898,2013-09-19,chatain,12.0,12.0,33319.0,F,master,detective,80.15,oui,0
1899,1899,2013-11-13,roux,29.0,7.0,27646.0,F,licence,forage,,non,0
1900,1900,2014-08-28,blond,42.0,9.0,41566.0,F,bac,geologie,74.61,non,0
1901,1901,2010-03-05,chatain,33.0,7.0,43368.0,F,licence,detective,57.27,non,1
1902,1902,2011-06-28,brun,42.0,15.0,33584.0,F,licence,geologie,75.35,non,0
1903,1903,2012-01-20,chatain,43.0,10.0,44265.0,F,licence,archeologie,54.51,oui,0
1904,1904,2010-01-21,chatain,39.0,10.0,38462.0,F,master,geologie,77.33,non,0
1905,1905,2011-04-01,blond,26.0,10.0,41236.0,F,licence,detective,72.09,non,1
1906,1906,2012-04-06,brun,55.0,6.0,39729.0,M,bac,archeologie,81.49,non,1
1907,1907,2014-11-12,blond,31.0,11.0,28024.0,F,licence,forage,99.06,non,0
1908,1908,2014-08-20,chatain,29.0,3.0,37787.0,F,licence,geologie,62.37,non,0
1909,1909,2013-06-18,roux,30.0,4.0,34967.0,M,bac,geologie,56.13,non,0
1910,1910,2013-06-01,chatain,28.0,8.0,38644.0,F,doctorat,detective,73.98,oui,0
1911,1911,2010-08-10,chatain,32.0,7.0,31633.0,F,licence,detective,86.29,non,0
1912,1912,2010-12-23,chatain,35.0,8.0,35050.0,,master,geologie,84.68,non,0
1913,1913,2010-05-22,chatain,35.0,10.0,30776.0,F,master,forage,40.14,non,1
1914,1914,2012-02-05,roux,31.0,6.0,36857.0,M,bac,detective,71.02,non,0
1915,1915,2010-11-17,blond,39.0,10.0,39177.0,F,licence,detective,82.36,oui,0
1916,1916,2013-08-20,chatain,35.0,11.0,41026.0,M,master,detective,59.36,oui,0
1917,1917,2013-08-02,roux,31.0,9.0,31403.0,M,licence,forage,69.69,non,0
1918,1918,2011-11-09,blond,15.0,12.0,37743.0,F,bac,detective,57.25,non,0
1919,1919,2013-01-09,roux,40.0,13.0,36703.0,M,bac,,63.64,non,0
1920,1920,2010-10-03,roux,42.0,9.0,30188.0,M,licence,geologie,54.22,non,0
1921,1921,2010-01-20,brun,31.0,9.0,39204.0,M,master,forage,95.99,oui,0
1922,1922,2010-02-27,blond,31.0,6.0,29282.0,M,doctorat,detective,90.25,oui,0
1923,1923,2012-01-29,brun,32.0,9.0,41319.0,F,licence,archeologie,66.69,oui,0
1924,1924,2012-09-18,chatain,44.0,6.0,30784.0,F,doctorat,archeologie,79.35,oui,0
1925,1925,2012-12-05,brun,29.0,9.0,34038.0,F,master,forage,63.25,non,0
1926,1926,2014-01-29,brun,33.0,13.0,32164.0,M,doctorat,geologie,82.29,oui,0
1927,1927,2013-04-04,brun,32.0,7.0,39683.0,M,master,detective,44.63,oui,0
1928,1928,2013-07-23,chatain,55.0,13.0,32866.0,M,master,geologie,72.36,non,0
1929,1929,2010-02-28,chatain,45.0,10.0,32628.0,F,master,geologie,74.63,non,0
1930,1930,2010-10-07,chatain,41.0,9.0,36836.0,M,master,forage,79.86,oui,0
1931,1931,2011-05-10,brun,35.0,4.0,41029.0,M,licence,detective,59.38,oui,0
1932,1932,2012-07-02,brun,37.0,15.0,40204.0,M,licence,geologie,69.78,non,0
1933,1933,2011-02-16,roux,28.0,8.0,39306.0,M,licence,geologie,89.76,oui,1
1934,1934,2012-10-25,brun,39.0,11.0,32716.0,F,master,detective,92.31,oui,0
1935,1935,2014-02-18,brun,22.0,13.0,25749.0,M,doctorat,geologie,99.01,oui,0
1936,1936,2012-07-22,blond,15.0,11.0,34202.0,M,master,detective,94.67,oui,0
1937,1937,2013-12-17,chatain,31.0,10.0,30298.0,M,master,geologie,63.32,non,1
1938,1938,2013-05-08,brun,35.0,7.0,33193.0,F,licence,detective,65.35,non,0
1939,1939,2013-04-10,brun,22.0,9.0,32885.0,M,master,geologie,61.53,non,0
1940,1940,2010-03-28,chatain,20.0,16.0,28273.0,M,master,detective,67.06,non,1
1941,1941,2010-12-19,brun,30.0,13.0,36602.0,M,licence,geologie,62.49,non,0
1942,1942,2010-01-02,blond,28.0,14.0,43304.0,M,licence,forage,76.22,oui,0
1943,1943,2011-12-06,blond,47.0,9.0,28282.0,M,master,geologie,82.93,non,0
1944,1944,2014-04-16,chatain,32.0,3.0,39516.0,F,licence,forage,60.27,non,0
1945,1945,2011-10-23,blond,24.0,7.0,31417.0,F,licence,geologie,82.16,non,0
1946,1946,2014-05-25,brun,46.0,9.0,34527.0,M,licence,geologie,50.56,non,0
1947,1947,2012-03-02,chatain,21.0,8.0,37038.0,M,licence,geologie,59.66,non,0
1948,1948,2013-03-07,blond,32.0,9.0,39833.0,M,licence,geologie,69.9,non,0
1949,1949,2013-03-06,blond,26.0,10.0,32463.0,M,master,geologie,84.4,oui,1
1950,1950,2010-02-26,chatain,21.0,12.0,35842.0,F,master,geologie,86.7,non,0
1951,1951,2011-01-25,brun,44.0,11.0,32659.0,M,licence,geologie,50.26,non,0
1952,1952,2012-06-15,chatain,43.0,9.0,31573.0,F,doctorat,forage,111.95,oui,0
1953,1953,2011-06-18,blond,33.0,7.0,29349.0,M,master,geologie,96.39,oui,0
1954,1954,2012-04-29,blond,40.0,6.0,32703.0,M,master,geologie,82.44,non,0
1955,1955,2010-01-21,brun,35.0,11.0,41570.0,F,bac,geologie,66.52,non,0
1956,1956,2013-04-01,brun,38.0,9.0,34618.0,M,master,detective,70.94,oui,0
1957,1957,2013-05-07,brun,31.0,4.0,38103.0,F,licence,forage,57.72,non,0
1958,1958,2012-04-04,blond,23.0,12.0,23053.0,M,master,geologie,67.32,non,0
1959,1959,2010-06-04,blond,27.0,11.0,28358.0,M,master,forage,108.65,oui,0
1960,1960,2011-10-16,brun,37.0,11.0,40285.0,F,licence,detective,58.64,oui,0
1961,1961,2010-03-14,blond,35.0,9.0,33643.0,M,licence,forage,61.68,non,0
1962,1962,2013-12-04,chatain,18.0,13.0,38922.0,M,licence,geologie,70.0,non,0
1963,1963,2013-11-04,roux,36.0,8.0,41047.0,M,bac,geologie,28.35,non,0
1964,1964,2010-02-03,brun,37.0,15.0,28807.0,M,master,geologie,81.58,non,0
1965,1965,2014-07-22,blond,37.0,5.0,33475.0,M,master,geologie,77.06,oui,0
1966,1966,2012-05-16,blond,32.0,8.0,30914.0,F,licence,forage,80.37,non,1
1967,1967,2014-01-29,chatain,42.0,12.0,38849.0,F,master,forage,96.5,non,0
1968,1968,2013-03-24,brun,22.0,8.0,28901.0,M,doctorat,geologie,67.49,oui,0
1969,1969,2011-12-19,brun,35.0,10.0,36326.0,M,licence,geologie,81.63,non,0
1970,1970,2010-04-23,chatain,11.0,10.0,30875.0,F,master,detective,57.67,non,1
1971,1971,2013-04-22,chatain,38.0,12.0,28097.0,F,doctorat,geologie,84.66,non,0
1972,1972,2013-09-15,brun,40.0,14.0,39798.0,F,bac,forage,54.19,non,0
1973,1973,2011-09-06,chatain,26.0,9.0,34026.0,F,master,detective,75.58,oui,0
1974,1974,2011-02-22,chatain,38.0,10.0,33424.0,F,master,geologie,58.31,non,1
1975,1975,2012-01-09,chatain,58.0,4.0,35243.0,M,master,geologie,76.08,non,0
1976,1976,2010-11-05,blond,18.0,11.0,36661.0,F,licence,detective,78.06,non,0
1977,1977,2010-07-02,chatain,51.0,9.0,37886.0,M,master,geologie,76.17,non,0
1978,1978,2012-06-27,blond,41.0,10.0,45098.0,M,licence,detective,65.88,oui,0
1979,1979,2010-05-14,brun,26.0,10.0,39477.0,M,master,forage,70.7,oui,0
1980,1980,2012-09-09,roux,18.0,8.0,,M,bac,geologie,52.96,non,0
1981,1981,2011-03-28,chatain,33.0,10.0,31812.0,F,licence,archeologie,45.75,non,1
1982,1982,2014-08-16,chatain,28.0,8.0,33174.0,F,licence,geologie,96.75,non,0
1983,1983,2013-09-08,blond,39.0,11.0,35086.0,M,master,detective,87.54,oui,0
1984,1984,2011-03-08,blond,35.0,6.0,31719.0,F,master,archeologie,80.78,oui,0
1985,1985,2012-03-08,blond,35.0,5.0,38447.0,M,licence,detective,86.57,oui,1
